Date : 2026-03-14 14:10:57
Directory : c:\Users\BG420\coffee-platform
Total : 147 files,  20200 codes, 5825 comments, 7052 blanks, all 33077 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      8,065 |          0 |          2 |      8,067 |
| TypeScript         |        115 |      6,601 |      5,159 |      5,076 |     16,836 |
| TypeScript JSX     |         25 |      4,622 |        611 |      1,748 |      6,981 |
| PostCSS            |          1 |        837 |         53 |        205 |      1,095 |
| JSON with Comments |          1 |         32 |          0 |          2 |         34 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         20 |          2 |          5 |         27 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        147 |     20,200 |      5,825 |      7,052 |     33,077 |
| . (Files)                                                                                 |          7 |      8,144 |          3 |         26 |      8,173 |
| app                                                                                       |         19 |      4,276 |      2,592 |      2,393 |      9,261 |
| app (Files)                                                                               |          3 |        965 |         60 |        228 |      1,253 |
| app\api                                                                                   |          4 |          0 |          0 |          4 |          4 |
| app\api\contracts                                                                         |          2 |          0 |          0 |          2 |          2 |
| app\api\contracts\amend                                                                   |          1 |          0 |          0 |          1 |          1 |
| app\api\contracts\create                                                                  |          1 |          0 |          0 |          1 |          1 |
| app\api\signature                                                                         |          2 |          0 |          0 |          2 |          2 |
| app\api\signature\sign                                                                    |          1 |          0 |          0 |          1 |          1 |
| app\api\signature\verify                                                                  |          1 |          0 |          0 |          1 |          1 |
| app\contract                                                                              |          5 |        684 |        125 |        384 |      1,193 |
| app\contract\create                                                                       |          4 |        626 |        122 |        353 |      1,101 |
| app\contract\pilot                                                                        |          1 |         58 |          3 |         31 |         92 |
| app\lab                                                                                   |          1 |        120 |         17 |         45 |        182 |
| app\legacy                                                                                |          2 |        657 |      2,178 |      1,136 |      3,971 |
| app\login                                                                                 |          1 |         43 |         24 |         29 |         96 |
