Date : 2026-03-19 16:10:52
Directory : c:\Users\BG420\coffee-platform
Total : 186 files,  21586 codes, 6782 comments, 8295 blanks, all 36663 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        152 |      8,429 |      6,091 |      6,290 |     20,810 |
| JSON               |          2 |      7,322 |          0 |          2 |      7,324 |
| TypeScript JSX     |         26 |      4,813 |        610 |      1,739 |      7,162 |
| PostCSS            |          1 |        837 |         53 |        205 |      1,095 |
| MS SQL             |          1 |        109 |         26 |         38 |        173 |
| JSON with Comments |          1 |         33 |          0 |          2 |         35 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         20 |          2 |          5 |         27 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        186 |     21,586 |      6,782 |      8,295 |     36,663 |
| . (Files)                                                                                 |          7 |      7,402 |          3 |         26 |      7,431 |
| app                                                                                       |         22 |      4,625 |      2,664 |      2,495 |      9,784 |
| app (Files)                                                                               |          3 |        965 |         60 |        228 |      1,253 |
| app\api                                                                                   |          7 |        243 |         80 |        151 |        474 |
| app\api\contracts                                                                         |          3 |         68 |         11 |         37 |        116 |
| app\api\contracts (Files)                                                                 |          1 |         18 |          3 |         12 |         33 |
| app\api\contracts\amend                                                                   |          1 |          0 |          0 |          1 |          1 |
| app\api\contracts\create                                                                  |          1 |         50 |          8 |         24 |         82 |
| app\api\dev                                                                               |          1 |         23 |          6 |         12 |         41 |
| app\api\dev\reset-contracts                                                               |          1 |         23 |          6 |         12 |         41 |
| app\api\signature                                                                         |          3 |        152 |         63 |        102 |        317 |
| app\api\signature\request                                                                 |          1 |         50 |         24 |         34 |        108 |
| app\api\signature\sign                                                                    |          1 |         56 |         15 |         27 |         98 |
| app\api\signature\verify                                                                  |          1 |         46 |         24 |         41 |        111 |
| app\contract                                                                              |          5 |        692 |        123 |        354 |      1,169 |
| app\contract\create                                                                       |          4 |        634 |        120 |        323 |      1,077 |
| app\contract\pilot                                                                        |          1 |         58 |          3 |         31 |         92 |
| app\lab                                                                                   |          1 |        133 |         17 |         49 |        199 |
| app\legacy                                                                                |          2 |        657 |      2,178 |      1,136 |      3,971 |
| app\login                                                                                 |          1 |         43 |         24 |         29 |         96 |
| app\platform                                                                              |          1 |      1,695 |        163 |        472 |      2,330 |
| app\sign                                                                                  |          1 |        160 |         19 |         61 |        240 |
| app\sign\[token]                                                                          |          1 |        160 |         19 |         61 |        240 |
| app\signup                                                                                |          1 |         37 |          0 |         15 |         52 |
| lib                                                                                       |          3 |         33 |          0 |          9 |         42 |
| prisma                                                                                    |          1 |        109 |         26 |         38 |        173 |
| prisma\migrations                                                                         |          1 |        109 |         26 |         38 |        173 |
| src                                                                                       |        153 |      9,417 |      4,089 |      5,727 |     19,233 |
| src\AI                                                                                    |         40 |      2,021 |      1,106 |      1,435 |      4,562 |
| src\AI\advisor                                                                            |          2 |        180 |         72 |        137 |        389 |
| src\AI\agent                                                                              |          1 |        134 |         58 |         79 |        271 |
| src\AI\analytics                                                                          |          3 |         69 |         20 |         41 |        130 |
| src\AI\dashboard                                                                          |          1 |         57 |         21 |         33 |        111 |
| src\AI\decision                                                                           |          3 |        197 |         36 |        145 |        378 |
| src\AI\evolution                                                                          |          5 |        151 |         99 |        109 |        359 |
| src\AI\execution                                                                          |          5 |        171 |        109 |        122 |        402 |
| src\AI\foresight                                                                          |          6 |        335 |        200 |        251 |        786 |
| src\AI\interpretation                                                                     |          2 |         78 |         74 |         51 |        203 |
| src\AI\learning                                                                           |          2 |         36 |         15 |         26 |         77 |
| src\AI\market                                                                             |          1 |         50 |         27 |         45 |        122 |
| src\AI\orchestration                                                                      |          1 |        312 |        151 |        180 |        643 |
| src\AI\risk                                                                               |          3 |         77 |         57 |         58 |        192 |
| src\AI\sensing                                                                            |          3 |         84 |        130 |         69 |        283 |
| src\AI\simulation                                                                         |          2 |         90 |         37 |         89 |        216 |
| src\brain                                                                                 |          5 |        222 |         99 |        127 |        448 |
| src\clientLayer                                                                           |         30 |      1,202 |        478 |        900 |      2,580 |
| src\clientLayer\contracts                                                                 |          9 |        173 |         33 |        111 |        317 |
| src\clientLayer\contracts\client                                                          |          5 |         89 |          9 |         47 |        145 |
| src\clientLayer\contracts\signature                                                       |          4 |         84 |         24 |         64 |        172 |
| src\clientLayer\layer                                                                     |         10 |        426 |        154 |        315 |        895 |
| src\clientLayer\microlots                                                                 |          7 |        433 |        173 |        335 |        941 |
| src\clientLayer\scoring                                                                   |          4 |        170 |        118 |        139 |        427 |
| src\components                                                                            |         13 |      1,757 |        224 |        648 |      2,629 |
| src\components\lab                                                                        |          7 |        841 |         41 |        246 |      1,128 |
| src\components\platform                                                                   |          4 |        916 |        183 |        400 |      1,499 |
| src\components\shared                                                                     |          2 |          0 |          0 |          2 |          2 |
| src\database                                                                              |          2 |         11 |         12 |         13 |         36 |
| src\decision                                                                              |         20 |      1,281 |        479 |        756 |      2,516 |
| src\engine                                                                                |          6 |      1,864 |        953 |        978 |      3,795 |
| src\events                                                                                |          3 |         24 |         19 |         20 |         63 |
| src\hooks                                                                                 |          1 |         67 |         32 |         49 |        148 |
| src\market                                                                                |          1 |          0 |          0 |          1 |          1 |
| src\services                                                                              |          3 |        118 |         43 |         38 |        199 |
| src\signals                                                                               |          3 |         89 |         80 |         30 |        199 |
| src\spatialMarket                                                                         |         20 |        670 |        518 |        648 |      1,836 |
| src\spatialMarket\RunSpatialMarkets                                                       |          1 |         66 |         47 |         39 |        152 |
| src\spatialMarket\cascade                                                                 |          5 |        191 |        168 |        205 |        564 |
| src\spatialMarket\export                                                                  |          2 |         61 |         27 |         64 |        152 |
| src\spatialMarket\flows                                                                   |          2 |         79 |         63 |         89 |        231 |
| src\spatialMarket\graph                                                                   |          2 |        102 |         74 |         85 |        261 |
| src\spatialMarket\logistics                                                               |          3 |         16 |         29 |         25 |         70 |
| src\spatialMarket\pricing                                                                 |          2 |         69 |         43 |         60 |        172 |
| src\spatialMarket\regions                                                                 |          3 |         86 |         67 |         81 |        234 |
| src\utils                                                                                 |          2 |          0 |          0 |          2 |          2 |
| src\websocket                                                                             |          4 |         91 |         46 |         82 |        219 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                  | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\BG420\coffee-platform\README.md                                                  | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\BG420\coffee-platform\app\api\contracts\amend\route.ts                           | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\app\api\contracts\create\route.ts                          | TypeScript         |         50 |          8 |         24 |         82 |
| c:\Users\BG420\coffee-platform\app\api\contracts\route.ts                                 | TypeScript         |         18 |          3 |         12 |         33 |
| c:\Users\BG420\coffee-platform\app\api\dev\reset-contracts\route.ts                       | TypeScript         |         23 |          6 |         12 |         41 |
| c:\Users\BG420\coffee-platform\app\api\signature\request\route.ts                         | TypeScript         |         50 |         24 |         34 |        108 |
| c:\Users\BG420\coffee-platform\app\api\signature\sign\route.ts                            | TypeScript         |         56 |         15 |         27 |         98 |
| c:\Users\BG420\coffee-platform\app\api\signature\verify\route.ts                          | TypeScript         |         46 |         24 |         41 |        111 |
| c:\Users\BG420\coffee-platform\app\contract\create\page.tsx                               | TypeScript JSX     |        134 |         15 |         67 |        216 |
| c:\Users\BG420\coffee-platform\app\contract\create\step1Client.tsx                        | TypeScript JSX     |        169 |         25 |         88 |        282 |
| c:\Users\BG420\coffee-platform\app\contract\create\step2Supply.tsx                        | TypeScript JSX     |        160 |         41 |         87 |        288 |
| c:\Users\BG420\coffee-platform\app\contract\create\step3Preview.tsx                       | TypeScript JSX     |        171 |         39 |         81 |        291 |
| c:\Users\BG420\coffee-platform\app\contract\pilot\page.tsx                                | TypeScript JSX     |         58 |          3 |         31 |         92 |
| c:\Users\BG420\coffee-platform\app\globals.css                                            | PostCSS            |        837 |         53 |        205 |      1,095 |
| c:\Users\BG420\coffee-platform\app\lab\page.tsx                                           | TypeScript JSX     |        133 |         17 |         49 |        199 |
| c:\Users\BG420\coffee-platform\app\layout.tsx                                             | TypeScript JSX     |         34 |          3 |         11 |         48 |
| c:\Users\BG420\coffee-platform\app\legacy\hybridengineconcept.ts                          | TypeScript         |          0 |      1,960 |        864 |      2,824 |
| c:\Users\BG420\coffee-platform\app\legacy\simulationDemo_old.ts                           | TypeScript         |        657 |        218 |        272 |      1,147 |
| c:\Users\BG420\coffee-platform\app\login\page.tsx                                         | TypeScript JSX     |         43 |         24 |         29 |         96 |
| c:\Users\BG420\coffee-platform\app\page.tsx                                               | TypeScript JSX     |         94 |          4 |         12 |        110 |
| c:\Users\BG420\coffee-platform\app\platform\page.tsx                                      | TypeScript JSX     |      1,695 |        163 |        472 |      2,330 |
| c:\Users\BG420\coffee-platform\app\sign\[token]\page.tsx                                  | TypeScript JSX     |        160 |         19 |         61 |        240 |
| c:\Users\BG420\coffee-platform\app\signup\page.tsx                                        | TypeScript JSX     |         37 |          0 |         15 |         52 |
| c:\Users\BG420\coffee-platform\eslint.config.mjs                                          | JavaScript         |         14 |          2 |          3 |         19 |
| c:\Users\BG420\coffee-platform\lib\auth.ts                                                | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\BG420\coffee-platform\lib\getUserFromRequest.ts                                  | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\BG420\coffee-platform\lib\supabase.ts                                            | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\next.config.ts                                             | TypeScript         |          4 |          1 |          3 |          8 |
| c:\Users\BG420\coffee-platform\package-lock.json                                          | JSON               |      7,292 |          0 |          1 |      7,293 |
| c:\Users\BG420\coffee-platform\package.json                                               | JSON               |         30 |          0 |          1 |         31 |
| c:\Users\BG420\coffee-platform\postcss.config.mjs                                         | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\BG420\coffee-platform\prisma\migrations\init.sql                                 | MS SQL             |        109 |         26 |         38 |        173 |
| c:\Users\BG420\coffee-platform\src\AI\advisor\AIStrategicAdvisor.ts                       | TypeScript         |         63 |         19 |         56 |        138 |
| c:\Users\BG420\coffee-platform\src\AI\advisor\coffeeSupplyAdvisor.ts                      | TypeScript         |        117 |         53 |         81 |        251 |
| c:\Users\BG420\coffee-platform\src\AI\agent\AutonomousStrategyAgent.ts                    | TypeScript         |        134 |         58 |         79 |        271 |
| c:\Users\BG420\coffee-platform\src\AI\analytics\PnLEngine.ts                              | TypeScript         |         17 |          6 |         10 |         33 |
| c:\Users\BG420\coffee-platform\src\AI\analytics\StrategyLeaderboard.ts                    | TypeScript         |         34 |         11 |         17 |         62 |
| c:\Users\BG420\coffee-platform\src\AI\analytics\TradeClosureEngine.ts                     | TypeScript         |         18 |          3 |         14 |         35 |
| c:\Users\BG420\coffee-platform\src\AI\dashboard\GlobalRiskDashboardEngine.ts              | TypeScript         |         57 |         21 |         33 |        111 |
| c:\Users\BG420\coffee-platform\src\AI\decision\CommodityStrategyEngine.ts                 | TypeScript         |         62 |         15 |         51 |        128 |
| c:\Users\BG420\coffee-platform\src\AI\decision\GlobalCommodityPortfolioOptimizer.ts       | TypeScript         |         72 |         11 |         48 |        131 |
| c:\Users\BG420\coffee-platform\src\AI\decision\GlobalTradeRouteOptimizer.ts               | TypeScript         |         63 |         10 |         46 |        119 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\CapitalCompetitionEngine.ts               | TypeScript         |         37 |         21 |         30 |         88 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyArena.ts                          | TypeScript         |         38 |         24 |         24 |         86 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyEvolutionEngine.ts                | TypeScript         |         44 |         39 |         31 |        114 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyGenome.ts                         | TypeScript         |         18 |          9 |         15 |         42 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyMutationEngine.ts                 | TypeScript         |         14 |          6 |          9 |         29 |
| c:\Users\BG420\coffee-platform\src\AI\execution\ExecutionRiskEngine.ts                    | TypeScript         |         58 |         27 |         33 |        118 |
| c:\Users\BG420\coffee-platform\src\AI\execution\MarketImpactEngine.ts                     | TypeScript         |         38 |         29 |         27 |         94 |
| c:\Users\BG420\coffee-platform\src\AI\execution\PositionSizingEngine.ts                   | TypeScript         |         36 |         41 |         35 |        112 |
| c:\Users\BG420\coffee-platform\src\AI\execution\selectBestRegion.ts                       | TypeScript         |         15 |          6 |         14 |         35 |
