Date : 2026-03-30 00:59:19
Directory : c:\Users\BG420\coffee-platform
Total : 265 files,  26861 codes, 7873 comments, 9461 blanks, all 44195 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        198 |     10,811 |      6,881 |      7,035 |     24,727 |
| JSON               |          2 |      7,795 |          0 |          2 |      7,797 |
| TypeScript JSX     |         49 |      6,931 |        807 |      2,067 |      9,805 |
| PostCSS            |          1 |        855 |         59 |        212 |      1,126 |
| MS SQL             |         10 |        378 |        123 |        124 |        625 |
| JSON with Comments |          1 |         46 |          0 |          1 |         47 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          3 |         22 |          3 |          6 |         31 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        265 |     26,861 |      7,873 |      9,461 |     44,195 |
| . (Files)                                                                                                   |          8 |      7,908 |          5 |         33 |      7,946 |
| app                                                                                                         |         65 |      7,187 |      3,186 |      2,945 |     13,318 |
| app (Files)                                                                                                 |          3 |      1,799 |        114 |        375 |      2,288 |
| app\api                                                                                                     |         31 |      1,767 |        525 |        590 |      2,882 |
| app\api\auth                                                                                                |          8 |        473 |        170 |        180 |        823 |
| app\api\auth\forgot-password                                                                                |          1 |         55 |         16 |         19 |         90 |
| app\api\auth\login                                                                                          |          1 |         55 |         15 |         21 |         91 |
| app\api\auth\logout                                                                                         |          1 |         14 |          3 |          4 |         21 |
| app\api\auth\me                                                                                             |          1 |         39 |         16 |         13 |         68 |
| app\api\auth\resend-verification                                                                            |          1 |         67 |         21 |         22 |        110 |
| app\api\auth\reset-password                                                                                 |          1 |         61 |         18 |         20 |         99 |
| app\api\auth\signup                                                                                         |          1 |         99 |         42 |         40 |        181 |
| app\api\auth\verify                                                                                         |          1 |         83 |         39 |         41 |        163 |
| app\api\company                                                                                             |          2 |         92 |         15 |         28 |        135 |
| app\api\company\me                                                                                          |          1 |         43 |          4 |         13 |         60 |
| app\api\company\update                                                                                      |          1 |         49 |         11 |         15 |         75 |
| app\api\contracts                                                                                           |          6 |        443 |        136 |        151 |        730 |
| app\api\contracts (Files)                                                                                   |          1 |         37 |         13 |         14 |         64 |
| app\api\contracts\amend                                                                                     |          1 |         58 |         22 |         16 |         96 |
